player_id,player_name,name_first,name_last,hand,dob,ioc,height,wikidata_id,atp_rank,atp_points,elo,elo_rank,best_surface,best_surface_elo,historical_matches,prediction_appearances,wins,losses,win_loss_record,last_match_date,is_active
104684,Navdeep Singh,Navdeep,Singh,R,19860221.0,IND,,Q107564152,,,,,,,0,0,0,0,0-0,,False
104685,Aleksandr Agafonov,Aleksandr,Agafonov,U,19860223.0,UKR,,,,,,,,,0,0,0,0,0-0,,False
104686,Christoph Steiner,Christoph,Steiner,U,19860225.0,AUT,,,,,,,,,0,0,0,0,0-0,,False
104687,Guillermo Bujniewicz,Guillermo,Bujniewicz,R,19860226.0,ARG,,,,,,,,,0,0,0,0,0-0,,False
104688,Milan Krnjetin,Milan,Krnjetin,U,19860226.0,SRB,,,,,,,,,0,0,0,0,0-0,,False
104689,Terence Nugent,Terence,Nugent,R,19860301.0,CIV,,,,,,,,,0,0,0,0,0-0,,False
104690,Divij Sharan,Divij,Sharan,L,19860302.0,IND,183.0,Q5284058,,,,,,,0,0,0,0,0-0,,False
104691,Filippo Figliomeni,Filippo,Figliomeni,R,19860304.0,ITA,,,,,,,,,0,0,0,0,0-0,,False
104694,Mathieu Guenat,Mathieu,Guenat,R,19860306.0,SUI,,,,,,,,,0,0,0,0,0-0,,False
104695,Fritz Wolmarans,Fritz,Wolmarans,R,19860307.0,RSA,,Q5505046,,,,,,,0,0,0,0,0-0,,False
104696,Bogdan Leonte,Bogdan,Leonte,R,19860308.0,ROU,,,,,,,,,0,0,0,0,0-0,,False
104697,Mikhail Vasiliev,Mikhail,Vasiliev,R,19860308.0,RUS,,,,,,,,,0,0,0,0,0-0,,False
104698,Diego Cubas,Diego,Cubas,R,19860314.0,BRA,,Q16940059,,,,,,,0,0,0,0,0-0,,False
104699,Marco Simoni,Marco,Simoni,U,19860314.0,ITA,,,,,,,,,0,0,0,0,0-0,,False
104700,Daniel Vallverdu,Daniel,Vallverdu,R,19860317.0,VEN,180.0,Q5218962,,,,,,,0,0,0,0,0-0,,False
104701,Marco Sattanino,Marco,Sattanino,R,19860318.0,ITA,,,,,,,,,0,0,0,0,0-0,,False
104702,Michael Leong,Michael,Leong,R,19860318.0,SOL,,Q107547613,,,,,,,0,0,0,0,0-0,,False
